run_date,data_through,city,mode,forecast_date,horizon,target,model,prediction,unit
2026-07-01,2026-07-01,mumbai,univariate,2026-07-06,5,TMP2m,hqnn,26.942,°C
2026-07-01,2026-07-01,mumbai,univariate,2026-07-06,5,TMP2m,ensemble,26.942,°C
2026-07-01,2026-07-01,mumbai,univariate,2026-07-06,5,RH2m,hqnn,87.669,%
2026-07-01,2026-07-01,mumbai,univariate,2026-07-06,5,RH2m,ensemble,87.669,%
2026-07-01,2026-07-01,mumbai,univariate,2026-07-06,5,PRmsl,hqnn,100541.188,Pa
2026-07-01,2026-07-01,mumbai,univariate,2026-07-06,5,PRmsl,ensemble,100541.188,Pa
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-03,1,TMP2m,hqnn,26.142,°C
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-03,1,TMP2m,ensemble,26.142,°C
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-03,1,RH2m,hqnn,90.782,%
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-03,1,RH2m,ensemble,90.782,%
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-03,1,PRmsl,hqnn,101170.398,Pa
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-03,1,PRmsl,ensemble,101170.398,Pa
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-04,2,TMP2m,hqnn,26.299,°C
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-04,2,TMP2m,ensemble,26.299,°C
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-04,2,RH2m,hqnn,91.188,%
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-04,2,RH2m,ensemble,91.188,%
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-04,2,PRmsl,hqnn,101130.703,Pa
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-04,2,PRmsl,ensemble,101130.703,Pa
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-05,3,TMP2m,hqnn,26.917,°C
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-05,3,TMP2m,ensemble,26.917,°C
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-05,3,RH2m,hqnn,91.24,%
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-05,3,RH2m,ensemble,91.24,%
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-05,3,PRmsl,hqnn,101044.367,Pa
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-05,3,PRmsl,ensemble,101044.367,Pa
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-06,4,TMP2m,hqnn,26.944,°C
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-06,4,TMP2m,ensemble,26.944,°C
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-06,4,RH2m,hqnn,92.391,%
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-06,4,RH2m,ensemble,92.391,%
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-06,4,PRmsl,hqnn,101148.297,Pa
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-06,4,PRmsl,ensemble,101148.297,Pa
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-07,5,TMP2m,hqnn,26.73,°C
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-07,5,TMP2m,ensemble,26.73,°C
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-07,5,RH2m,hqnn,92.488,%
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-07,5,RH2m,ensemble,92.488,%
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-07,5,PRmsl,hqnn,101151.594,Pa
2026-07-02,2026-07-02,mumbai,multivariate,2026-07-07,5,PRmsl,ensemble,101151.594,Pa
2026-07-02,2026-07-02,mumbai,univariate,2026-07-03,1,TMP2m,hqnn,26.325,°C
2026-07-02,2026-07-02,mumbai,univariate,2026-07-03,1,TMP2m,ensemble,26.325,°C
2026-07-02,2026-07-02,mumbai,univariate,2026-07-03,1,RH2m,hqnn,88.279,%
2026-07-02,2026-07-02,mumbai,univariate,2026-07-03,1,RH2m,ensemble,88.279,%
2026-07-02,2026-07-02,mumbai,univariate,2026-07-03,1,PRmsl,hqnn,100449.508,Pa
2026-07-02,2026-07-02,mumbai,univariate,2026-07-03,1,PRmsl,ensemble,100449.508,Pa
2026-07-02,2026-07-02,mumbai,univariate,2026-07-04,2,TMP2m,hqnn,25.98,°C
2026-07-02,2026-07-02,mumbai,univariate,2026-07-04,2,TMP2m,ensemble,25.98,°C
2026-07-02,2026-07-02,mumbai,univariate,2026-07-04,2,RH2m,hqnn,89.815,%
2026-07-02,2026-07-02,mumbai,univariate,2026-07-04,2,RH2m,ensemble,89.815,%
2026-07-02,2026-07-02,mumbai,univariate,2026-07-04,2,PRmsl,hqnn,100556.844,Pa
2026-07-02,2026-07-02,mumbai,univariate,2026-07-04,2,PRmsl,ensemble,100556.844,Pa
2026-07-02,2026-07-02,mumbai,univariate,2026-07-05,3,TMP2m,hqnn,26.641,°C
2026-07-02,2026-07-02,mumbai,univariate,2026-07-05,3,TMP2m,ensemble,26.641,°C
2026-07-02,2026-07-02,mumbai,univariate,2026-07-05,3,RH2m,hqnn,87.525,%
