run_date,data_through,mode,forecast_date,horizon,target,model,prediction,unit
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,hqnn,474506.062,hPa
2026-06-25,2026-06-20,multivariate,2026-06-23,3,PRmsl,ensemble,260889.699,hPa
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,lstm,-3.398,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,qlstm,1.035,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,gru,0.221,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,qgru,-3.859,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,ann,10.072,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,hqnn,-2190.92,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,TMP2m,ensemble,-364.475,°C
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,lstm,6.527,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,qlstm,43.815,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,gru,47.723,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,qgru,14.039,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,ann,-145.973,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,hqnn,29.785,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,RH2m,ensemble,-0.681,%
2026-06-25,2026-06-20,multivariate,2026-06-24,4,PRmsl,lstm,102928.492,hPa
2026-06-25,2026-06-20,multivariate,2026-06-24,4,PRmsl,qlstm,102472.828,hPa
2026-06-25,2026-06-20,multivariate,2026-06-24,4,PRmsl,gru,103003.398,hPa
2026-06-25,2026-06-20,multivariate,2026-06-24,4,PRmsl,qgru,103193.789,hPa
2026-06-25,2026-06-20,multivariate,2026-06-24,4,PRmsl,ann,679331.875,hPa
2026-06-25,2026-06-20,multivariate,2026-06-24,4,PRmsl,hqnn,474573.969,hPa
2026-06-25,2026-06-20,multivariate,2026-06-24,4,PRmsl,ensemble,260917.392,hPa
2026-06-25,2026-06-20,multivariate,2026-06-25,5,TMP2m,lstm,-3.302,°C
2026-06-25,2026-06-20,multivariate,2026-06-25,5,TMP2m,qlstm,1.036,°C
2026-06-25,2026-06-20,multivariate,2026-06-25,5,TMP2m,gru,0.215,°C
2026-06-25,2026-06-20,multivariate,2026-06-25,5,TMP2m,qgru,-3.855,°C
2026-06-25,2026-06-20,multivariate,2026-06-25,5,TMP2m,ann,10.072,°C
2026-06-25,2026-06-20,multivariate,2026-06-25,5,TMP2m,hqnn,-2188.633,°C
2026-06-25,2026-06-20,multivariate,2026-06-25,5,TMP2m,ensemble,-364.078,°C
2026-06-25,2026-06-20,multivariate,2026-06-25,5,RH2m,lstm,6.529,%
2026-06-25,2026-06-20,multivariate,2026-06-25,5,RH2m,qlstm,43.827,%
2026-06-25,2026-06-20,multivariate,2026-06-25,5,RH2m,gru,47.074,%
2026-06-25,2026-06-20,multivariate,2026-06-25,5,RH2m,qgru,14.032,%
2026-06-25,2026-06-20,multivariate,2026-06-25,5,RH2m,ann,-146.23,%
2026-06-25,2026-06-20,multivariate,2026-06-25,5,RH2m,hqnn,29.785,%
2026-06-25,2026-06-20,multivariate,2026-06-25,5,RH2m,ensemble,-0.83,%
2026-06-25,2026-06-20,multivariate,2026-06-25,5,PRmsl,lstm,102928.891,hPa
2026-06-25,2026-06-20,multivariate,2026-06-25,5,PRmsl,qlstm,102466.227,hPa
2026-06-25,2026-06-20,multivariate,2026-06-25,5,PRmsl,gru,103003.906,hPa
2026-06-25,2026-06-20,multivariate,2026-06-25,5,PRmsl,qgru,103185.133,hPa
2026-06-25,2026-06-20,multivariate,2026-06-25,5,PRmsl,ann,679504.875,hPa
2026-06-25,2026-06-20,multivariate,2026-06-25,5,PRmsl,hqnn,474625.281,hPa
2026-06-25,2026-06-20,multivariate,2026-06-25,5,PRmsl,ensemble,260952.385,hPa
2026-06-25,2026-06-20,univariate,2026-06-21,1,TMP2m,lstm,33.016,°C
2026-06-25,2026-06-20,univariate,2026-06-21,1,TMP2m,qlstm,33.027,°C
2026-06-25,2026-06-20,univariate,2026-06-21,1,TMP2m,gru,32.806,°C
2026-06-25,2026-06-20,univariate,2026-06-21,1,TMP2m,qgru,34.831,°C
2026-06-25,2026-06-20,univariate,2026-06-21,1,TMP2m,ann,33.432,°C
2026-06-25,2026-06-20,univariate,2026-06-21,1,TMP2m,hqnn,32.911,°C
2026-06-25,2026-06-20,univariate,2026-06-21,1,TMP2m,ensemble,33.337,°C
2026-06-25,2026-06-20,univariate,2026-06-21,1,RH2m,lstm,45.953,%
2026-06-25,2026-06-20,univariate,2026-06-21,1,RH2m,qlstm,41.365,%
2026-06-25,2026-06-20,univariate,2026-06-21,1,RH2m,gru,46.77,%
2026-06-25,2026-06-20,univariate,2026-06-21,1,RH2m,qgru,46.449,%
2026-06-25,2026-06-20,univariate,2026-06-21,1,RH2m,ann,44.026,%
2026-06-25,2026-06-20,univariate,2026-06-21,1,RH2m,hqnn,42.611,%
2026-06-25,2026-06-20,univariate,2026-06-21,1,RH2m,ensemble,44.529,%
2026-06-25,2026-06-20,univariate,2026-06-21,1,PRmsl,lstm,100349.93,hPa
2026-06-25,2026-06-20,univariate,2026-06-21,1,PRmsl,qlstm,100814.234,hPa
2026-06-25,2026-06-20,univariate,2026-06-21,1,PRmsl,gru,100952.258,hPa
2026-06-25,2026-06-20,univariate,2026-06-21,1,PRmsl,qgru,100382.016,hPa
2026-06-25,2026-06-20,univariate,2026-06-21,1,PRmsl,ann,100742.82,hPa
2026-06-25,2026-06-20,univariate,2026-06-21,1,PRmsl,hqnn,100813.758,hPa
2026-06-25,2026-06-20,univariate,2026-06-21,1,PRmsl,ensemble,100675.836,hPa
2026-06-25,2026-06-20,univariate,2026-06-22,2,TMP2m,lstm,34.436,°C
2026-06-25,2026-06-20,univariate,2026-06-22,2,TMP2m,qlstm,33.707,°C
2026-06-25,2026-06-20,univariate,2026-06-22,2,TMP2m,gru,34.239,°C
2026-06-25,2026-06-20,univariate,2026-06-22,2,TMP2m,qgru,36.432,°C
2026-06-25,2026-06-20,univariate,2026-06-22,2,TMP2m,ann,34.913,°C
2026-06-25,2026-06-20,univariate,2026-06-22,2,TMP2m,hqnn,34.332,°C
2026-06-25,2026-06-20,univariate,2026-06-22,2,TMP2m,ensemble,34.677,°C
2026-06-25,2026-06-20,univariate,2026-06-22,2,RH2m,lstm,46.911,%
2026-06-25,2026-06-20,univariate,2026-06-22,2,RH2m,qlstm,45.562,%
2026-06-25,2026-06-20,univariate,2026-06-22,2,RH2m,gru,47.553,%
2026-06-25,2026-06-20,univariate,2026-06-22,2,RH2m,qgru,47.512,%
2026-06-25,2026-06-20,univariate,2026-06-22,2,RH2m,ann,38.042,%
2026-06-25,2026-06-20,univariate,2026-06-22,2,RH2m,hqnn,44.536,%
2026-06-25,2026-06-20,univariate,2026-06-22,2,RH2m,ensemble,45.019,%
2026-06-25,2026-06-20,univariate,2026-06-22,2,PRmsl,lstm,100045.07,hPa
2026-06-25,2026-06-20,univariate,2026-06-22,2,PRmsl,qlstm,100476.148,hPa
2026-06-25,2026-06-20,univariate,2026-06-22,2,PRmsl,gru,100549.984,hPa
2026-06-25,2026-06-20,univariate,2026-06-22,2,PRmsl,qgru,100025.148,hPa
2026-06-25,2026-06-20,univariate,2026-06-22,2,PRmsl,ann,100437.492,hPa
2026-06-25,2026-06-20,univariate,2026-06-22,2,PRmsl,hqnn,100407.977,hPa
2026-06-25,2026-06-20,univariate,2026-06-22,2,PRmsl,ensemble,100323.637,hPa
2026-06-25,2026-06-20,univariate,2026-06-23,3,TMP2m,lstm,33.561,°C
2026-06-25,2026-06-20,univariate,2026-06-23,3,TMP2m,qlstm,32.748,°C
2026-06-25,2026-06-20,univariate,2026-06-23,3,TMP2m,gru,33.339,°C
2026-06-25,2026-06-20,univariate,2026-06-23,3,TMP2m,qgru,35.661,°C
2026-06-25,2026-06-20,univariate,2026-06-23,3,TMP2m,ann,33.524,°C
2026-06-25,2026-06-20,univariate,2026-06-23,3,TMP2m,hqnn,33.028,°C
2026-06-25,2026-06-20,univariate,2026-06-23,3,TMP2m,ensemble,33.643,°C
2026-06-25,2026-06-20,univariate,2026-06-23,3,RH2m,lstm,46.708,%
2026-06-25,2026-06-20,univariate,2026-06-23,3,RH2m,qlstm,50.348,%
2026-06-25,2026-06-20,univariate,2026-06-23,3,RH2m,gru,47.207,%
2026-06-25,2026-06-20,univariate,2026-06-23,3,RH2m,qgru,50.561,%
2026-06-25,2026-06-20,univariate,2026-06-23,3,RH2m,ann,42.585,%
2026-06-25,2026-06-20,univariate,2026-06-23,3,RH2m,hqnn,50.082,%
2026-06-25,2026-06-20,univariate,2026-06-23,3,RH2m,ensemble,47.915,%
2026-06-25,2026-06-20,univariate,2026-06-23,3,PRmsl,lstm,100044.938,hPa
2026-06-25,2026-06-20,univariate,2026-06-23,3,PRmsl,qlstm,100461.07,hPa
2026-06-25,2026-06-20,univariate,2026-06-23,3,PRmsl,gru,100543.312,hPa
2026-06-25,2026-06-20,univariate,2026-06-23,3,PRmsl,qgru,100019.117,hPa
2026-06-25,2026-06-20,univariate,2026-06-23,3,PRmsl,ann,100434.352,hPa
2026-06-25,2026-06-20,univariate,2026-06-23,3,PRmsl,hqnn,100401.789,hPa
2026-06-25,2026-06-20,univariate,2026-06-23,3,PRmsl,ensemble,100317.43,hPa
2026-06-25,2026-06-20,univariate,2026-06-24,4,TMP2m,lstm,34.621,°C
