run_date,data_through,city,mode,forecast_date,horizon,target,model,prediction,unit
2026-07-01,2026-07-01,chennai,univariate,2026-07-06,5,TMP2m,ensemble,30.497,°C
2026-07-01,2026-07-01,chennai,univariate,2026-07-06,5,RH2m,hqnn,71.235,%
2026-07-01,2026-07-01,chennai,univariate,2026-07-06,5,RH2m,ensemble,71.235,%
2026-07-01,2026-07-01,chennai,univariate,2026-07-06,5,PRmsl,hqnn,100482.375,Pa
2026-07-01,2026-07-01,chennai,univariate,2026-07-06,5,PRmsl,ensemble,100482.375,Pa
2026-07-02,2026-07-02,chennai,multivariate,2026-07-03,1,TMP2m,hqnn,32.854,°C
2026-07-02,2026-07-02,chennai,multivariate,2026-07-03,1,TMP2m,ensemble,32.854,°C
2026-07-02,2026-07-02,chennai,multivariate,2026-07-03,1,RH2m,hqnn,57.968,%
2026-07-02,2026-07-02,chennai,multivariate,2026-07-03,1,RH2m,ensemble,57.968,%
2026-07-02,2026-07-02,chennai,multivariate,2026-07-03,1,PRmsl,hqnn,100725.961,Pa
2026-07-02,2026-07-02,chennai,multivariate,2026-07-03,1,PRmsl,ensemble,100725.961,Pa
2026-07-02,2026-07-02,chennai,multivariate,2026-07-04,2,TMP2m,hqnn,32.424,°C
2026-07-02,2026-07-02,chennai,multivariate,2026-07-04,2,TMP2m,ensemble,32.424,°C
2026-07-02,2026-07-02,chennai,multivariate,2026-07-04,2,RH2m,hqnn,61.747,%
2026-07-02,2026-07-02,chennai,multivariate,2026-07-04,2,RH2m,ensemble,61.747,%
2026-07-02,2026-07-02,chennai,multivariate,2026-07-04,2,PRmsl,hqnn,100716.648,Pa
2026-07-02,2026-07-02,chennai,multivariate,2026-07-04,2,PRmsl,ensemble,100716.648,Pa
2026-07-02,2026-07-02,chennai,multivariate,2026-07-05,3,TMP2m,hqnn,31.546,°C
2026-07-02,2026-07-02,chennai,multivariate,2026-07-05,3,TMP2m,ensemble,31.546,°C
2026-07-02,2026-07-02,chennai,multivariate,2026-07-05,3,RH2m,hqnn,65.08,%
2026-07-02,2026-07-02,chennai,multivariate,2026-07-05,3,RH2m,ensemble,65.08,%
2026-07-02,2026-07-02,chennai,multivariate,2026-07-05,3,PRmsl,hqnn,100699.852,Pa
2026-07-02,2026-07-02,chennai,multivariate,2026-07-05,3,PRmsl,ensemble,100699.852,Pa
2026-07-02,2026-07-02,chennai,multivariate,2026-07-06,4,TMP2m,hqnn,31.181,°C
2026-07-02,2026-07-02,chennai,multivariate,2026-07-06,4,TMP2m,ensemble,31.181,°C
2026-07-02,2026-07-02,chennai,multivariate,2026-07-06,4,RH2m,hqnn,64.909,%
2026-07-02,2026-07-02,chennai,multivariate,2026-07-06,4,RH2m,ensemble,64.909,%
2026-07-02,2026-07-02,chennai,multivariate,2026-07-06,4,PRmsl,hqnn,100709.547,Pa
2026-07-02,2026-07-02,chennai,multivariate,2026-07-06,4,PRmsl,ensemble,100709.547,Pa
2026-07-02,2026-07-02,chennai,multivariate,2026-07-07,5,TMP2m,hqnn,30.887,°C
2026-07-02,2026-07-02,chennai,multivariate,2026-07-07,5,TMP2m,ensemble,30.887,°C
2026-07-02,2026-07-02,chennai,multivariate,2026-07-07,5,RH2m,hqnn,65.215,%
2026-07-02,2026-07-02,chennai,multivariate,2026-07-07,5,RH2m,ensemble,65.215,%
2026-07-02,2026-07-02,chennai,multivariate,2026-07-07,5,PRmsl,hqnn,100722.508,Pa
2026-07-02,2026-07-02,chennai,multivariate,2026-07-07,5,PRmsl,ensemble,100722.508,Pa
2026-07-02,2026-07-02,chennai,univariate,2026-07-03,1,TMP2m,hqnn,31.351,°C
2026-07-02,2026-07-02,chennai,univariate,2026-07-03,1,TMP2m,ensemble,31.351,°C
2026-07-02,2026-07-02,chennai,univariate,2026-07-03,1,RH2m,hqnn,60.228,%
2026-07-02,2026-07-02,chennai,univariate,2026-07-03,1,RH2m,ensemble,60.228,%
2026-07-02,2026-07-02,chennai,univariate,2026-07-03,1,PRmsl,hqnn,100480.586,Pa
2026-07-02,2026-07-02,chennai,univariate,2026-07-03,1,PRmsl,ensemble,100480.586,Pa
2026-07-02,2026-07-02,chennai,univariate,2026-07-04,2,TMP2m,hqnn,32.368,°C
2026-07-02,2026-07-02,chennai,univariate,2026-07-04,2,TMP2m,ensemble,32.368,°C
2026-07-02,2026-07-02,chennai,univariate,2026-07-04,2,RH2m,hqnn,60.327,%
2026-07-02,2026-07-02,chennai,univariate,2026-07-04,2,RH2m,ensemble,60.327,%
2026-07-02,2026-07-02,chennai,univariate,2026-07-04,2,PRmsl,hqnn,100492.867,Pa
2026-07-02,2026-07-02,chennai,univariate,2026-07-04,2,PRmsl,ensemble,100492.867,Pa
2026-07-02,2026-07-02,chennai,univariate,2026-07-05,3,TMP2m,hqnn,30.961,°C
2026-07-02,2026-07-02,chennai,univariate,2026-07-05,3,TMP2m,ensemble,30.961,°C
2026-07-02,2026-07-02,chennai,univariate,2026-07-05,3,RH2m,hqnn,65.591,%
2026-07-02,2026-07-02,chennai,univariate,2026-07-05,3,RH2m,ensemble,65.591,%
2026-07-02,2026-07-02,chennai,univariate,2026-07-05,3,PRmsl,hqnn,100466.844,Pa
2026-07-02,2026-07-02,chennai,univariate,2026-07-05,3,PRmsl,ensemble,100466.844,Pa
2026-07-02,2026-07-02,chennai,univariate,2026-07-06,4,TMP2m,hqnn,31.935,°C
2026-07-02,2026-07-02,chennai,univariate,2026-07-06,4,TMP2m,ensemble,31.935,°C
2026-07-02,2026-07-02,chennai,univariate,2026-07-06,4,RH2m,hqnn,66.277,%
2026-07-02,2026-07-02,chennai,univariate,2026-07-06,4,RH2m,ensemble,66.277,%
2026-07-02,2026-07-02,chennai,univariate,2026-07-06,4,PRmsl,hqnn,100484.766,Pa
2026-07-02,2026-07-02,chennai,univariate,2026-07-06,4,PRmsl,ensemble,100484.766,Pa
2026-07-02,2026-07-02,chennai,univariate,2026-07-07,5,TMP2m,hqnn,30.973,°C
2026-07-02,2026-07-02,chennai,univariate,2026-07-07,5,TMP2m,ensemble,30.973,°C
2026-07-02,2026-07-02,chennai,univariate,2026-07-07,5,RH2m,hqnn,69.689,%
2026-07-02,2026-07-02,chennai,univariate,2026-07-07,5,RH2m,ensemble,69.689,%
2026-07-02,2026-07-02,chennai,univariate,2026-07-07,5,PRmsl,hqnn,100465.344,Pa
2026-07-02,2026-07-02,chennai,univariate,2026-07-07,5,PRmsl,ensemble,100465.344,Pa
